,ENCFF855XWL,ENCFF394ILT,ENCFF753UVR,ENCFF423HWS,ENCFF428XME,ENCFF827OWX,ENCFF119HDC,ENCFF424IRB,ENCFF346AVD,ENCFF983TON,ENCFF945PKC,ENCFF817OKW,ENCFF840BXH,ENCFF087HIG,ENCFF517MBY,ENCFF187MBB,ENCFF026RES,ENCFF613KZJ,ENCFF874LJS,ENCFF492AZH,ENCFF928HTH,ENCFF077WSJ,ENCFF977LKL,ENCFF564OCC,ENCFF811GWB,ENCFF622GIX,ENCFF141QVV,ENCFF437SBD,ENCFF702OQW,ENCFF296NWQ,ENCFF467YZL,ENCFF375GZN,ENCFF443YAW,ENCFF559ZBP,ENCFF601YUN,ENCFF959RYF,ENCFF865DDB,ENCFF567QQP,ENCFF075BWE,ENCFF434PBY,ENCFF785XEV,ENCFF470PDD,ENCFF995TKW,ENCFF625JKM,ENCFF463OCW,ENCFF645YXV,ENCFF754CFM,ENCFF538UNB,ENCFF889KIG,ENCFF946HWJ,ENCFF392GLP,ENCFF589FYO,ENCFF494FJB,ENCFF067MGG,ENCFF729CFS,ENCFF385QYX,ENCFF905HDC,ENCFF800IDT,ENCFF074PXG,ENCFF565UUV,ENCFF344UVE,ENCFF614WZC,ENCFF611QTT,ENCFF873NQS,ENCFF682HIM,ENCFF730IMW,ENCFF018VLM,ENCFF021WXP,ENCFF545SIA,ENCFF755NNR,ENCFF253JUY,ENCFF688ZST,ENCFF837PEP,ENCFF006ELI,ENCFF461VEI,ENCFF850VDF,ENCFF538RSM,ENCFF399REE,ENCFF062GEP,ENCFF434PFO,ENCFF080DVI,ENCFF141FGO,ENCFF513ONW,ENCFF101KOX,ENCFF794XRI,ENCFF354BKY
ENSG00000283971.1,1,8,1,2,2,0,6,2,2,7,5,5,1,4,2,0,22,4,4,0,3,13,3,23,7,0,2,0,1,0,1,0,1,2,1,2,1,18,6,3,7,5,1,1,3,1,0,4,0,6,5,7,10,1,3,1,4,0,2,2,5,4,12,7,10,2,3,12,4,0,1,2,2,1,0,1,8,0,0,1,1,1,7,0,6,2
ENSG00000265376.1,0,4,1,5,1,0,3,209,124,119,149,222,43,50,67,77,99,6,5,14,8,10,13,22,18,3,1,0,0,1,0,0,1,1,2,3,3,3,7,37,64,8,5,6,7,131,22,3,1,14,3,28,57,2,2,1,5,2,2,1,4,7,0,2,3,3,3,1,4,40,10,12,0,0,1,5,0,5,2,2,39,1,5,5,79,59
ENSG00000276147.1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
ENSG00000207625.1,15,51,7,5,3,3,6,5,4,3,1,5,0,1,3,1,2,23,29,1,17,7,18,7,21,7,21,5,4,4,0,3197,1731,1869,2770,7,5,6,21,3,11,4,2,6,12,6,1,0,9,1,31,6,22,6,7,4,1,5,6,4,2,4,4,3,4,0,4,1,1,6,2,1,8,7,0,1,16,6,4,1,2,29,41,9,11,3
ENSG00000199075.1,27,315,12,26,7,16,58,60,38,38,22,349,31,18,2469,92,106,17,19,13,16,33,1244,61,161,253,26,17,38,45,26,29,12,8,15,853,317,21,329,624,86,64,34,48,41,48,818,19,26,21,13,32,145,33,18,54,20,75,23,20,18,25,53,52,28,38,47,79,90,38,26,29,30,158,45,13,37,48,89,7,27,214,1439,80,224,77
ENSG00000284158.1,1,5,0,0,0,0,0,2,1,0,0,4,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,0,0,0,0,2,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000207954.1,7,103,16,27,9,2,17,17,2,4,11,12,6,4,2,2,17,8,11,9,1,26,260,766,129,15,16,10,17,12,7,4,2,1,1,67,56,58,105,272,236,10,12,17,16,775,643,30,30,7,9,15,78,10,16,18,10,13,31,14,30,14,3062,3433,1689,0,8,2,3,10,9,7,47,10,23,5,145,178,11,9,188,13,115,17,468,216
ENSG00000284498.1,0,4,0,0,0,1,1,3,0,3,5,7,0,2,1,0,10,0,1,1,0,1,4,11,3,0,1,2,0,2,1,1,0,0,0,0,1,8,1,3,7,0,1,4,0,1,3,5,1,0,1,1,1,0,0,2,2,1,0,0,2,0,3,7,0,0,0,1,2,1,0,3,0,0,1,0,3,3,1,0,0,1,6,0,1,1
ENSG00000221585.1,139,1327,78,119,149,106,2420,31,12,52,120,434,15,16,56,22,57,52,38,54,34,34,59,63,100,11,67,12,13,16,12,53,43,51,56,136,196,27,21,180,458,9,5,14,10,156,61,25,18,51,31,155,329,67,46,37,30,69,15,10,13,11,31,40,26,6,25,20,3,17,5,7,9,84,93,36,86,37,95,50,68,38,58,93,19,81
ENSG00000265483.1,22,96,43,18,4,2,420,4,26,150,533,817,0,11,9,4,260,25,74,247,148,452,19,209,86,38,5,9,18,12,15,7,3,17,4,4,2,523,84,6,406,27,12,8,11,3,19,174,8,8,13,54,39,30,49,4,33,1,6,0,33,16,115,135,69,13,25,67,60,1,2,8,5,0,1,125,222,7,19,0,2,9,198,6,77,5
