,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
ENSG00000275167.1,0,1,0,21,19,168,111,5,8,4,2,13,4,15,12,97,46,28,7,9,7,21,16,47,3,1,26,17,48,12,2,2,0,15,34,196,3,2,5,2,358,325,4,6,32,71,52,81,61,35,49,21,43,24,1,4,9,7,20,20,23,22,84,120,10,45
ENSG00000264757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207780.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284031.1,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,153,106,0,0,0,0,0,0,0,2,1,0,39,27,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,9,0,0,1,2,0,0,0,1,0,0,0,0
ENSG00000208023.3,316,7475,1140,600,575,742,109,494,468,276,249,426,3428,4055,6376,5683,8096,793,23476,29489,30191,9798,9014,4611,1366,1257,759,84,1319,1125,276,10177,6108,2455,1942,3117,320,383,412,226,3685,474,1636,2614,1474,1997,1434,3600,2298,1518,10080,4597,2377,2481,1975,3938,197,3721,691,536,702,1115,972,1189,670,2925
ENSG00000284140.1,11,5,3,1,1,3,1,0,1,0,0,3,1,0,13,5,11,3,78,50,33,7,6,12,0,0,2,6,3,1,0,18,14,2,6,8,1,0,1,0,0,0,2,3,0,0,0,14,10,0,13,8,1,0,0,0,14,13,2,0,2,2,0,0,3,1
ENSG00000284464.1,133,238,121,171,192,995,631,96,77,54,64,113,107,223,361,463,406,246,3054,1439,1879,240,232,180,263,112,173,160,544,483,360,895,946,188,777,246,82,37,88,29,1618,868,991,1307,104,403,175,6117,4334,1001,7508,4937,941,898,164,308,1224,986,472,417,208,449,358,488,224,248
ENSG00000278278.1,0,2,1,0,0,2,1,2,0,0,0,1,1,2,0,1,2,4,6,6,10,2,2,1,1,0,0,1,4,1,0,14,8,0,0,1,1,0,1,0,0,2,1,4,0,0,0,15,13,0,12,6,0,1,2,1,8,2,0,0,0,1,0,0,0,1
ENSG00000221039.3,0,0,0,2,0,11,6,1,4,4,1,16,1,0,11,2,2,0,6,19,3,3,1,6,0,0,9,8,0,0,0,4,1,0,0,0,0,1,0,0,1,0,5,6,0,0,0,10,9,1,59,13,0,0,0,0,25,12,4,4,0,2,0,0,3,3
ENSG00000207575.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212102.1,58,120,152,17,24,74,28,23,20,17,48,23,86,89,82,1109,67,116,464,4080,15159,39,29,27,4,5,101,104,7,27,11,1068,1533,43,194,56,34,9,28,55,281,68,179,261,29,66,3,1228,1053,994,1205,880,41,28,12,17,826,2258,30,54,164,1581,46,43,530,300
ENSG00000283871.1,6378,62896,34279,4395,4122,13447,5963,3058,2940,2302,2266,4022,4120,5042,9549,13424,13880,6550,61625,293707,459784,3076,2998,1569,1094,1160,8762,5028,2308,1258,991,47959,26962,2082,3579,2564,1945,2353,2668,1189,11561,6974,8629,13553,1695,4059,2343,16954,11221,9554,42135,21496,5723,5338,2235,4221,29573,51251,12696,10253,2696,14219,2985,3655,8669,17981
ENSG00000284049.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
