,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR494,19,159,179,1,2,3,2,2,4,0,3,5,9,1,18,10,32,40,110,53,115,18,9,5,1902,2461,1,0,1625,908,655,45,29,4693,17,1611,5,14,9,1,308,244,11,4,3,6,4,14,9,50,9,4,113,63,950,2426,3,21,144,122,0,165,114,172,7,28
MIRLET7E,135,177,65,61,62,233,134,132,49,26,26,48,10935,12481,13656,15349,11405,6887,5441,2052,2923,33078,28616,37416,30731,19911,118,118,21959,27406,46187,3041,2369,20880,53738,23743,57,71,289,72,65029,42626,1022,1387,28267,60845,39359,8659,5582,51614,12917,7094,68771,71588,21164,41527,415,690,117,91,20816,1590,15928,22810,7444,28750
MIR375,8,713,161,61,66,547,168,214,66,37,242,118,2988,3766,5021,569,152,57,213,237,226,4670,4718,3622,28,18,1189,529,4,5,2,111,128,7,19340,138,140721,132782,163190,34039,715,3059,98802,138334,2,13,6,1022,638,172,946709,452938,41747,42306,18,57,420,212,120,107,24,170744,258,291,154163,593274
MIR30E,27697,71109,36040,6765,6904,10833,3083,4469,7584,3112,2613,6065,24808,31467,34559,66991,42640,19444,74373,49657,92554,19459,21466,12208,4364,7573,7954,3711,2735,3107,1702,40826,31282,11706,11849,32877,5261,5078,9804,970,49408,10001,15394,20955,4113,5370,4082,31789,22413,56746,22132,13332,22827,14500,23605,52445,14276,36850,10417,13590,6261,15924,6571,7324,16353,42885
MIRLET7A2,143,633,223,6,15,6,2,48,41,6,5,21,2015,2185,1836,105,34,9,127,81,79,550,634,269,2017,2629,2,3,689,603,1213,25,16,620,3587,460,2,23,73,0,192,102,7,6,492,732,443,12,7,57,17,14,361,318,2168,4503,4,10,5,5,224,18,74,101,22,84
MIR429,27,23,29,427,327,361,206,157,347,161,313,299,10403,11070,10323,15544,4591,5688,54,6,13,21501,21648,18158,3,5,2605,3651,0,0,0,2,1,31,12919,51,596,443,832,236,2250,104,85,158,5,25,15,1192,783,5038,168,114,7845,7745,6,28,91,42,139,105,20,36641,169,191,16464,14513
MIR380,0,18,20,0,0,1,0,0,0,0,1,0,0,0,2,3,4,10,17,29,137,3,3,1,28,31,0,0,221,157,146,56,42,416,6,117,2,3,2,0,27,45,0,1,0,1,3,8,6,18,2,1,4,1,51,133,12,8,16,14,0,269,2,6,10,6
MIR449A,65,140,113,11,24,29,8,23,17,12,0,13,585,631,717,17,43,26,103,80,58,135,101,7,30,42,17,19,11,7,4,39,34,22,53,868,9,7,81,7,121,65,3940,5665,24,35,19,38,29,103,9546,3906,164,116,5,29,29,81,32,14,2,2,111,216,694,1070
MIR345,321,701,703,266,236,863,399,460,338,82,64,183,984,1284,1538,1845,1893,1949,569,588,524,5460,5193,2929,194,112,227,184,125,191,56,610,561,1247,437,824,117,64,181,60,2540,546,2849,4368,133,189,175,14572,12020,2036,10359,5232,1893,2278,379,826,1937,2810,497,344,501,2016,481,617,1537,1935
MIR16-2,3814,26663,27160,183,200,1007,541,103,145,313,242,503,1163,1185,2120,1251,1090,1011,3725,35968,38770,1413,1745,1578,304,730,483,731,1263,689,470,6041,3995,739,1624,2622,433,1031,397,132,1480,1771,808,1078,436,1073,810,3133,2082,1831,3622,2238,361,219,374,825,3663,4243,505,651,1175,616,141,157,3186,1005
MIR340,204,16,2,176,128,420,263,115,169,120,94,301,243,303,414,1374,774,939,452,1275,1908,503,554,1991,37,60,558,872,1,20,9,760,427,600,141,1751,475,124,313,136,1220,1094,979,1416,345,238,376,3183,2025,3256,3213,1561,436,461,125,274,6028,6172,1153,954,1042,4218,160,222,556,657
MIR107,1083,4303,3606,1547,1424,4173,2121,877,858,992,231,1586,3906,4149,5674,8119,14126,9637,3418,6334,1623,8359,8041,6832,1468,1330,902,673,801,753,324,3126,1037,1851,1213,5956,449,600,712,168,10034,3603,5257,7608,2606,973,2062,8641,5859,8446,15999,4072,9051,8322,3590,8133,6386,27000,990,788,908,2048,1937,2849,2267,6155
MIR448,0,0,1,15,13,112,56,25,17,40,43,87,0,0,0,0,0,0,0,2,4,5,4,9,0,0,244,296,0,0,0,2,0,0,0,1,4,7,3,57,113,1,11,24,0,0,0,99,48,111,82,44,0,3,0,0,34,44,35,21,0,15,4,3,69,84
MIR370,10,47,27,2,1,4,2,0,1,1,1,4,0,0,2,1,0,1,6,10,46,1,2,2,1615,934,2,0,10435,6733,9340,27,9,2086,0,390,8,11,6,0,30,5,4,6,0,1,2,108,63,56,45,36,89,51,266,581,30,20,105,79,0,1177,89,150,20,51
MIR412,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,8,6,0,0,156,72,45,1,0,57,5,21,0,1,1,0,10,3,0,0,0,0,0,1,1,4,1,0,5,5,47,92,0,1,0,0,0,13,1,1,0,3
MIR377,3,25,22,0,1,1,1,0,0,0,0,1,0,0,4,0,0,0,10,6,13,2,0,0,1102,689,0,1,791,939,327,21,9,656,4,228,1,0,3,0,119,48,2,2,0,1,0,9,3,3,1,0,36,32,216,553,3,4,22,7,0,87,66,95,2,10
MIR1-1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,1,0,1,5,1,9,0,0,5,0,0,0,0,58,208,0,0,0,0,1,0,8,3,1,1
MIR381,7,122,206,3,4,0,0,6,1,1,0,3,39,44,31,14,42,38,269,244,354,30,17,3,1691,1978,1,2,2730,3213,979,589,653,9371,17,1372,17,6,14,4,360,212,7,9,4,0,6,36,19,91,6,6,124,108,5317,14748,32,39,147,101,0,803,97,165,24,69
MIR339,8562,62299,27784,453,454,2381,1290,573,474,252,159,384,2760,3351,4320,3585,9049,5793,10100,16714,10198,7104,8635,10211,1635,1487,1010,854,1791,2861,527,5671,4699,1616,2428,3896,801,380,1183,330,9288,4174,705,1022,1837,1851,1313,7850,6185,4284,5043,2475,1955,1776,1873,4159,4219,6616,1327,1274,1040,1306,873,1116,968,5056
MIR103A2,0,6,1,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,4,1,0,0,0,1,1,0,0,1,0,0,3,1,0,0,2,0,0,0,1,1,3,6,6,0,0,0,0,3,5,0,0,0,0,1,0,0,1
MIR369,18,1093,525,4,1,4,2,1,1,3,2,5,8,17,35,20,16,11,72,123,132,31,22,32,1989,2221,2,5,4218,2637,1618,77,81,13009,58,3698,32,29,40,6,589,449,10,3,7,17,15,35,25,298,17,3,222,232,1984,4907,126,109,171,93,0,1385,208,221,49,232
MIRLET7C,92,537,184,17,17,2,2,26,8,11,23,76,113,150,60,27,77,28,20,41,29,908,3173,1689,7010,5138,10,22,1454,1319,3353,13,8,441,252,450,98,56,296,9,11097,196,63,5,12270,19081,10149,58,44,20942,1,1,13327,14470,7902,17405,324,471,18,18,8095,94,37,57,3607,10682
MIR371A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR425,24766,58763,65058,4044,5288,17610,9380,3423,3781,4364,3157,10239,11811,17670,39258,36262,26072,35679,70958,222785,223917,26916,30618,44570,2715,4241,15106,14405,6911,7099,3172,60104,31254,10177,25064,62928,6696,3311,10244,2505,33759,21251,7286,10771,3519,5397,6437,59462,38312,24042,32125,18489,11978,9384,4656,11293,44805,39212,4940,5949,12963,31394,6316,7438,8689,32461
MIR103A1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR219A1,22,67,58,0,2,17,13,0,2,1,1,2,17,35,44,81,29,32,68,132,163,7,14,38,6,6,3,2,44,8,0,167,88,10,12,22,8,0,4,1,32,18,4,6,7,10,7,188,112,43,60,26,14,8,1,5,422,1901,60,61,7,16,3,4,21,8
MIR210,3486,4291,5413,314,232,631,417,258,311,81,76,186,6432,6788,2292,2808,643,949,3056,9866,8871,1115,1219,1291,4170,3220,320,443,589,1159,151,7559,8190,1559,3303,2490,495,164,1085,52,4337,3300,561,920,2406,1649,1569,1767,1220,4692,5590,2675,1941,1974,3061,6559,682,1331,1265,1121,449,732,3114,4392,218,1801
MIR335,917,1684,1686,4342,4194,6048,2354,1679,2833,1910,1105,2959,3815,4140,5750,8183,8718,6214,96,204,205,7378,7592,5882,409,572,4320,3308,46,1,3,65,104,16704,3887,5570,1270,2710,2549,780,34907,20318,11448,15627,2918,3566,2465,7111,4737,34087,18090,7547,67596,43310,16828,43323,25443,47836,11973,10015,8420,28200,39953,52986,21367,59420
MIR378A,235,146,286,106,130,216,122,87,68,13,23,34,174,169,178,86,207,234,1586,1308,3352,249,183,74,2,1,40,26,1,8,3,2881,1790,1,125,70,12,10,16,2,137,63,281,463,11,46,18,558,404,5,945,820,187,206,118,350,11,9,22,34,7,3,87,126,39,75
MIR361,6604,17364,16965,4401,4651,11369,5701,3236,3171,1905,1616,3554,6928,7644,9425,38213,26607,12738,5286,6787,6145,8078,7425,11072,10875,9088,6307,4483,4552,5079,3125,1639,1263,9315,16283,18001,4398,5692,4947,1737,35989,21380,13254,18920,13782,19681,11286,33688,22823,26939,58817,29085,26036,25324,11844,23499,18777,44575,9821,7667,6940,11479,11042,13935,9547,27735
MIR324,6037,9473,9117,1540,1682,4151,2367,924,1056,415,414,949,11804,15465,11362,28834,22234,12738,5294,6278,8441,14930,18625,18277,6593,5562,956,782,3564,3999,1780,5922,3833,4888,10918,13166,667,607,799,236,34484,16415,13910,19193,4752,8166,5853,28119,19544,28958,62974,35683,27813,24859,17079,33969,9595,21991,1369,1412,2906,6108,14007,20000,4055,11356
MIR135B,303,4178,4158,949,882,2610,743,1299,1921,438,188,1314,6404,7701,4575,12842,18826,14456,1816,5775,7587,140,73,2964,26,22,3206,2417,19,8,0,13444,3187,24,677,472,758,587,1413,1094,7605,3486,632,843,1,21,3,13311,8226,3809,1110,417,1208,1182,1,3,6203,12168,4057,3416,19,29367,1398,1853,13415,41792
MIR101-2,258,800,981,57,38,59,32,17,23,15,27,16,243,180,137,447,186,178,645,1213,4112,134,206,119,30,44,31,27,3,7,4,527,290,28,88,26,31,17,47,2,104,77,69,88,14,56,19,52,37,110,98,74,152,101,117,268,29,51,82,96,23,33,38,49,7,93
MIR323A,8,78,47,3,1,2,2,3,0,0,1,7,4,6,15,2,17,12,29,13,4,7,8,0,593,401,1,1,1846,879,505,23,16,1874,16,468,15,8,18,3,297,208,9,6,0,0,2,31,26,95,11,9,79,69,312,810,25,13,173,101,0,337,130,158,8,42
MIRLET7F1,463,2853,1490,3,0,4,0,1,2,0,1,3,1281,1176,1261,175,207,71,59,53,51,1525,1502,1165,531,743,1,1,400,294,447,28,14,340,1197,371,3,63,27,0,34,44,10,3,656,826,820,21,15,33,12,7,202,179,592,1341,4,11,5,6,529,14,15,34,43,72
MIR26A1,10,12,25,9,5,19,12,5,10,4,5,72,24,18,47,176,23,40,37,39,56,19,29,372,31,37,11,20,110,7,27,92,39,24,31,20,11,245,7,3,40,29,25,39,7,39,187,504,151,33,86,66,80,60,27,79,72,42,21,20,242,284,34,59,145,82
MIR129-2,1,0,1,21,35,117,56,26,20,33,19,54,0,0,1,1,0,2,11,18,26,2,0,3,95,94,60,35,16,20,0,9,5,26,6,19,13,8,15,1,413,567,106,106,0,10,3,172,133,17,359,185,2,6,2,0,573,620,18,15,0,9,24,21,102,124
MIR133B,1,0,0,1,0,0,0,1,2,0,1,0,0,2,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,3,0,0,1,1220,4548,0,0,0,0,0,0,0,0,2,1
MIR342,18705,30692,41542,1028,1391,4915,2891,1250,1322,977,813,2455,873,1710,1744,4195,2466,4320,3966,7509,5935,8032,15800,30615,1560,2622,2121,2270,118,227,287,1304,917,4872,1611,3131,1062,1614,1664,295,7647,4987,10398,12718,2008,2735,2562,18292,12262,14749,28358,17814,9129,4563,2059,4606,19506,20288,2063,2974,6797,8744,3486,3292,6231,7284
MIR148A,3119,3943,5800,1242,1360,1917,722,1484,1131,537,1080,925,569,676,1434,23926,4225,4118,6268,2801,6516,492,520,367,303,524,1344,1280,1,12,0,4317,2181,200,814,111,1053,649,1596,256,3815,1368,1956,2730,468,2121,631,10786,8387,4670,5595,3974,5231,4091,51,89,1069,1221,574,575,118,9050,3001,4123,1834,8096
MIR379,13,622,669,1,0,13,11,3,1,11,11,22,11,11,43,18,82,80,106,532,495,13,13,7,3630,3057,2,0,8707,5116,2337,260,143,12359,125,3584,60,66,41,10,849,1246,5,9,24,41,28,62,46,131,75,32,156,206,1929,5057,60,99,289,215,0,583,322,387,16,74
MIR326,32,175,182,6,4,218,163,6,5,16,8,9,10,17,31,126,281,309,95,271,250,113,69,96,3,2,14,21,19,23,1,112,100,20,19,156,12,2,21,10,110,83,21,31,7,11,4,3374,2537,29,240,118,121,163,20,19,74,81,1,0,3,29,29,31,13,40
MIR410,0,12,10,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,5,2,4,0,1,0,79,60,0,0,231,246,137,5,3,275,0,67,1,2,1,0,26,31,0,0,1,0,0,11,6,15,0,0,5,6,24,42,4,2,5,6,0,203,4,8,5,8
MIR30C2,1,6,1,4,18,35,25,18,8,6,5,13,0,1,1,10,2,6,1,1,13,10,15,8,210,90,2,9,204,169,169,0,1,107,62,698,3,6,6,3,710,874,134,163,39,43,31,568,354,155,644,271,582,657,358,747,227,504,10,9,40,81,78,132,126,135
MIR372,0,0,0,54985,50529,949,367,473,570,1437,906,1956,5,13,1,38,129,57,15,74,65,11,2,0,5,6,5271,3396,0,0,0,15,27,0,0,5,12907,3490,18882,4470,35,26,6207,8645,0,1,0,1688,1142,56,16281,7475,356,458,5,9,1,2,1123,1224,11,240,328,375,10,1105
MIR302C,1,0,0,434241,384262,1190709,419098,364623,467783,286384,160247,338127,61,156,1,0,2,0,0,0,0,190,77,1,78,48,1342555,948702,0,0,0,0,0,11,0,0,392027,395480,697538,276608,16573,29501,70833,111736,6,13,48,607350,448140,493,302817,131054,784,656,72,219,388,403,412036,363492,1775,22821,1432,1588,1147,7162
MIR346,4,15,7,1,3,17,13,0,0,3,0,4,12,20,48,0,0,0,1,1,0,0,1,6,0,0,3,3,0,1,0,0,0,1,0,16,2,1,0,0,15,29,45,48,15,9,4,20,14,10,582,291,17,8,0,0,86,58,2,1,1,5,97,118,262,53
MIR409,24,1268,608,11,1,22,11,17,10,13,10,38,23,45,104,21,28,15,133,113,204,88,32,16,10432,8756,4,6,35315,17955,26285,79,79,25354,186,8241,90,85,108,24,4070,3048,36,42,11,34,35,164,115,423,172,104,527,405,3337,8778,345,268,522,494,4,3469,522,978,92,525
MIR411,40,4432,3778,1,1,14,7,9,7,9,9,39,40,34,98,42,203,142,422,2852,2515,44,15,8,4214,4761,11,10,12756,6346,3923,964,776,27419,170,5973,132,82,141,33,1188,1194,8,9,30,40,55,82,55,351,43,17,222,172,4480,12576,244,303,425,318,6,2119,431,554,72,366
MIR26B,49507,487112,123708,3299,3098,8250,3508,2807,3703,1230,2097,2870,45803,44382,72047,512873,285829,75724,64310,66780,71940,48096,52186,72467,38704,43924,12205,9186,11548,16385,13394,21260,19782,42581,162214,105265,12843,15605,16183,2679,85883,34613,16623,24512,19220,44679,21830,71790,48520,106552,52635,35529,147171,129948,30704,69166,37984,39500,22022,16599,23499,29537,53612,69961,38416,132675
MIR148B,1301,784,3196,160,145,228,109,139,141,39,47,91,991,957,1968,2858,848,1575,1874,3557,7819,865,1007,916,286,372,249,396,112,328,123,2162,2840,1120,1218,1931,230,132,256,69,1360,843,335,479,292,432,159,1919,1537,2353,850,585,1125,1026,374,761,2529,1329,339,339,519,1292,508,679,1097,3362
MIR383,0,763,365,0,2,10,2,0,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,2,1,1,1,0,1,0,0,1,285,0,1,1,0,1,1,10,18,473,732,0,0,0,63,43,5,6541,3104,630,561,0,3,3,4,2,0,2,10,2,2,84,138
MIR365A,141,139,88,7,8,31,18,7,9,6,3,7,9,28,29,65,164,97,30,19,27,185,111,86,83,44,9,7,66,82,86,10,9,21,9,52,7,9,10,2,227,222,3,2,28,35,29,54,41,4,17,8,24,10,30,49,1,2,5,7,13,9,43,55,13,55
MIR450A1,3,6,0,5,4,6,4,8,10,1,4,2,6,1,4,1,1,1,25,12,3,48,51,38,32,30,0,6,18,9,0,6,5,53,35,71,1,3,0,3,76,51,6,10,14,13,9,43,31,79,22,11,54,120,196,253,25,63,1,4,5,20,24,19,14,15
MIRLET7D,18294,86552,30328,49,28,93,50,81,36,31,11,59,40387,50265,36137,3670,2722,995,377,106,95,40782,44074,37872,18089,14327,15,12,19500,9707,9367,47,35,7229,36731,6263,61,62,626,2,1123,423,117,55,30352,42434,29382,137,69,656,162,76,11772,14198,24726,47883,60,94,64,61,12981,47,205,324,928,4726
MIR101-1,0,3,7,2,4,1,1,4,2,2,3,14,6,11,8,9,2,4,49,57,132,13,10,34,2,9,1,6,0,1,0,145,181,2,3,5,7,3,12,2,11,10,2,4,6,5,4,48,33,16,6,5,6,5,3,9,6,9,2,7,30,12,1,2,7,12
MIR373,0,0,0,29124,30224,842,597,156,161,387,215,486,3,4,0,6,17,21,59,362,140,5,0,0,2,0,1267,2609,0,0,0,35,16,0,0,0,2157,1968,2947,1938,7,30,2767,4320,0,0,0,790,386,16,15422,6027,121,342,0,3,0,0,386,440,1,91,146,124,0,226
MIR302D,1,1,0,881465,833728,1966233,758695,767881,842579,746158,486341,1023565,147,352,8,2,0,0,1,0,2,517,210,0,245,126,1008768,766437,1,6,2,0,0,39,0,6,942677,978265,1145394,292830,38591,83100,184450,258927,12,60,27,918166,656062,1985,631083,273500,2238,2031,161,538,435,743,984343,978598,280,49438,4901,5742,1094,15944
MIRLET7G,182549,856282,327969,227,180,713,299,368,164,192,130,700,148127,142791,216232,72608,69783,18226,6896,5766,2091,111516,98977,94611,104439,105202,169,209,62672,47233,43567,2121,1687,107229,377479,123247,846,1070,4794,111,23331,7227,666,633,125725,127108,111756,786,518,28990,1914,690,84681,94524,110001,246412,775,1786,317,266,51347,958,4263,6384,16210,68449
MIR337,4,114,76,1,0,2,1,7,0,3,2,1,1,2,3,3,1,4,110,124,994,2,1,2,3409,2481,2,1,2834,4941,3303,168,123,12524,2,2318,20,5,27,2,18,0,3,5,2,1,3,14,6,20,14,7,38,40,3237,7284,38,31,108,65,0,783,20,27,20,146
MIR30D,6819,8892,11439,1475,1741,6812,5213,1075,1363,2177,1754,5276,11824,12532,15079,61211,17109,17640,21137,34536,33409,15013,15437,45786,5215,5990,1937,3428,7858,9688,3715,14080,8917,27225,42839,21386,5357,5789,5478,761,21510,13748,3808,5110,6104,7052,6750,49446,35368,57480,23809,14924,18916,14096,5637,14254,20477,35980,2883,3942,9514,20254,6249,6315,11404,30838
MIR422A,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR208A,0,1,0,0,1,2,1,0,1,0,12,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,144,24,0,73,48,4,3,2,5,1,315,476,0,0,0,0,0,3,0,0,2,11
MIR96,9,204,111,1503,1294,2528,601,776,892,158,69,451,4514,5167,5909,1601,3215,1559,6295,29470,41437,14412,13649,5794,3,5,2520,1147,3,6,3,44190,10056,34,2665,1729,72,48,349,206,3424,413,7716,10527,1,4,4,4273,2775,3099,16831,5511,576,422,14,34,42,45,345,307,39,18313,171,212,2555,7806
MIR126,345,9004,687,1511,1312,8148,4295,1183,1155,2064,1343,3484,10531,10778,22805,817,190,183,501838,8514106,3364293,10636,8653,9746,426,557,4471,5432,537,491,435,1096653,1431723,2281,1634,38248,6192,6669,19938,2714,11331,6117,1554,2352,4367,1674,3684,6528506,4352231,48094,9653,4395,16283,30186,457,1242,13979,18341,3313,2530,2079,11380,4424,5219,6830,12162
MIRLET7A1,433,894,772,4,9,28,18,23,20,12,7,23,1228,1210,1040,178,169,101,171,164,230,408,401,392,1093,1576,19,31,650,298,1434,95,78,409,1502,498,14,89,42,3,81,91,7,10,362,662,531,35,16,119,20,12,184,133,1536,3172,61,24,8,6,333,17,20,29,35,81
MIR374A,1410,842,2125,599,475,510,175,179,453,309,135,304,1290,1005,1432,5896,2043,3216,3125,12119,26171,1301,1967,2700,417,581,937,988,156,363,123,9310,3439,1060,813,2809,234,268,405,489,3141,1383,848,1394,743,1136,688,4172,3021,3496,1733,845,1384,1337,1129,2454,2597,6734,1115,1009,2437,6281,580,724,2710,5431
MIR367,0,0,0,972,691,1135,345,1275,1313,453,673,4813,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1303,945,0,0,0,0,0,0,0,0,752,1696,1828,333,32,59,80,145,0,0,0,2696,1084,0,264,156,0,1,0,0,0,0,1492,1130,1,308,0,0,4,20
MIR331,401,2121,1676,224,176,761,424,245,175,127,96,186,447,602,787,960,1158,920,729,2085,2016,567,507,433,269,181,581,432,385,580,289,1393,1090,369,989,733,312,289,280,175,2355,1339,531,883,177,209,155,3774,2711,758,5139,2650,682,806,282,664,1486,2055,394,357,284,1272,313,350,478,791
MIR31,10,3,0,1208,1115,2948,2168,1112,749,1136,132,2415,86107,95041,140289,128,211,282,598,0,0,160,115,45,61941,52624,761,1890,53467,39128,23574,0,0,16424,9929,25956,2390,2263,2198,774,20144,26725,370,300,583,55,322,4934,2657,15666,922,100,4824,4834,5641,12594,1709,2032,880,728,2038,24728,14387,18990,4406,14844
MIRLET7I,135910,1053922,310716,218,157,443,218,365,177,108,64,517,79218,94300,176764,20556,24828,7934,2281,4252,1550,123561,122918,169319,296118,249932,95,229,114915,106985,122817,878,635,96573,273985,96262,496,533,2517,80,11452,2619,461,332,181503,220026,172940,634,428,19832,1062,416,55718,73679,125823,277096,845,1568,329,273,121495,636,990,1703,13164,30806
MIR539,0,4,10,0,0,0,0,0,0,0,1,0,0,4,2,0,2,3,4,5,7,1,3,0,462,446,0,0,299,206,72,15,2,661,9,289,2,1,0,0,70,32,0,6,0,0,0,0,0,6,1,1,25,37,176,414,3,1,12,16,0,42,28,50,2,8
MIR421,709,4367,2738,1730,1802,7839,4363,928,1126,1004,968,2319,421,730,1004,3624,5630,3373,1270,6657,5634,1825,1960,3430,255,281,2167,2013,353,328,200,818,536,889,1713,2709,1310,1526,1600,561,4652,4006,5635,7743,430,972,733,11071,7280,4706,23211,12386,3141,2166,729,1512,4990,7322,2778,2275,383,3231,1303,1466,1383,3966
MIR146B,3737,1685,3096,41,42,270,194,30,46,18,11,69,192,202,695,5499,5282,9992,37064,57714,49935,393,362,401,1843,2856,23,36,162,234,107,31347,30133,1116,247,1028,553,612,761,39,878,707,196,268,93,58,157,17052,11618,1497,616,276,3834,2672,58,237,1899,1982,128,149,58,300,9654,10711,633,228
MIR582,49,24,26,5,1,2,0,4,5,0,1,1,0,1,0,145,211,202,0,0,3,25,22,4,1,0,1,6,0,0,0,0,1,1,14,8,1,3,5,0,662,29,22,46,33,27,39,26,21,684,51,32,114,95,20,31,16,18,4,0,60,45,72,75,163,129
MIR488,0,0,1,9,4,13,7,6,7,1,0,2,2,6,3,0,0,0,3,5,7,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,4,0,15,1,2,5,0,0,0,423,314,17,15,12,6,3,0,0,97,75,9,5,0,1,0,0,35,16
MIR548C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR25,2541,7937,8217,1069,973,2999,1535,795,594,509,496,1288,1687,1621,4701,4272,2928,3113,11144,18509,19553,3201,3024,4771,420,288,1105,1070,379,339,124,17269,11150,605,1760,2852,1012,419,861,204,2472,1386,1455,2208,173,238,268,8551,6054,3508,7314,4162,1390,1332,352,765,3805,4638,1563,1476,713,3396,399,516,929,2851
MIR217,0,1,4,3,3,7,0,3,0,0,0,0,3,4,1,10,0,1,1,0,0,5,4,1,13,10,3,0,0,0,0,0,0,20,3,2,1,0,2,0,308,785,8050,11436,2,9,13,385,246,1,9522,3631,12,5,27,15,2701,3864,24,13,0,211,10,20,166,440
MIR521-2,0,0,0,3,2,2,1,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR99B,23,163,86,2455,2423,6161,2986,2513,1809,2348,1914,1548,7582,9073,17185,27364,16657,13251,16458,41083,39243,31515,33030,20137,12915,12900,10713,7134,17661,39779,58829,9416,12337,31641,54338,29163,7932,7248,6250,5567,183690,81617,17524,21263,44292,61502,20998,130552,99822,409514,124001,62687,57211,53175,13727,28564,7886,15091,5275,4253,36003,29853,26702,36722,50441,81059
MIR608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
