,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR20A,70675,335372,373123,38586,35589,65613,25904,17616,25978,20473,15111,28526,44914,41216,64006,127203,147557,98764,535524,2935768,2643374,27511,26469,11556,2950,4088,38729,27757,2235,1476,652,473078,317090,3858,12203,15107,19086,25225,27170,8053,60288,33580,43620,66785,5588,5988,4218,56313,38146,61742,141604,64262,27150,19466,6748,16631,67995,223650,56823,55672,2764,27911,12072,14263,19859,32783
MIR6850,6,60,12,0,6,7,3,8,3,0,0,0,19,30,31,6,31,18,3,2,4,35,27,26,0,1,2,1,6,5,0,1,0,11,23,0,1,0,1,0,17,6,0,6,0,0,0,17,14,3,33,13,0,0,0,0,1,5,0,1,1,9,1,1,0,1
MIR1178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIR6849,3,1,1,0,0,8,2,1,1,1,0,0,0,3,5,2,5,2,8,4,2,2,4,3,4,4,2,0,4,2,6,1,1,0,3,1,0,1,0,0,9,1,3,3,0,0,1,36,23,9,17,7,1,1,2,2,12,3,2,1,2,5,4,6,0,5
MIR6778,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,6,0,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0
MIR632,4,32,8,0,0,7,6,2,0,2,1,1,0,0,5,5,3,1,2,2,4,0,0,0,2,0,3,0,2,0,0,0,0,0,2,1,0,0,0,0,1,3,1,3,0,1,0,18,14,3,14,5,2,0,0,0,2,1,0,0,0,0,1,6,2,2
MIR4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR15A,10668,36399,17839,879,859,2521,738,856,1002,418,274,828,6296,6263,11986,6487,14424,8492,22253,18212,29096,22659,30140,17016,2882,3670,2272,1091,3031,5966,1510,37036,36577,13143,5872,20276,1477,441,1985,302,13500,5430,6233,9571,3208,5030,8157,38486,30122,15261,16661,7443,5983,5069,8735,19342,9884,21823,4559,3866,14864,5393,670,796,6913,6170
MIR936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
